length,age,n,mature,sex
,1,3,0,2
,2,16,0,2
,3,38,0,2
,5,6,0,2
,6,41,0,2
,7,107,0,2
,8,123,0,2
,9,14,0,2
,10,15,0,2
,11,6,0,2
,12,3,0,2
,13,4,0,2
,14,0,0,2
,15,0,0,2
,17,0,0,2
,18,0,0,2
,24,0,0,2
,25,0,0,2
,1,0,1,2
,2,0,1,2
,3,0,1,2
,5,0,1,2
,6,1,1,2
,7,8,1,2
,8,23,1,2
,9,6,1,2
,10,11,1,2
,11,5,1,2
,12,16,1,2
,13,11,1,2
,14,4,1,2
,15,1,1,2
,17,1,1,2
,18,1,1,2
,24,1,1,2
,25,1,1,2
15,,1,0,2
15.3,,1,0,2
15.8,,1,0,2
16.8,,1,0,2
17.2,,2,0,2
17.3,,1,0,2
17.4,,1,0,2
17.5,,1,0,2
17.6,,1,0,2
18.1,,1,0,2
18.4,,1,0,2
21,,1,0,2
21.1,,1,0,2
21.8,,1,0,2
21.9,,1,0,2
22.6,,1,0,2
22.8,,1,0,2
23.5,,1,0,2
23.8,,1,0,2
24,,2,0,2
24.2,,1,0,2
24.3,,2,0,2
24.5,,2,0,2
24.9,,1,0,2
25.1,,1,0,2
25.3,,1,0,2
25.4,,2,0,2
25.6,,3,0,2
25.7,,1,0,2
25.8,,1,0,2
25.9,,2,0,2
26,,6,0,2
26.2,,1,0,2
26.3,,1,0,2
26.5,,2,0,2
26.6,,3,0,2
27.1,,1,0,2
27.4,,1,0,2
22,,1,0,2
22.2,,1,0,2
29,,1,0,2
31,,1,0,2
32,,1,0,2
33,,2,0,2
34,,3,0,2
35,,6,0,2
36,,9,0,2
37,,14,0,2
38,,31,0,2
38.7,,1,0,2
39,,44,0,2
40,,45,0,2
41,,33,0,2
41.6,,2,0,2
42,,40,0,2
42.6,,1,0,2
43,,16,0,2
43.2,,0,0,2
43.7,,1,0,2
43.9,,1,0,2
44,,23,0,2
44.2,,1,0,2
44.9,,1,0,2
45,,7,0,2
45.2,,1,0,2
45.6,,1,0,2
46,,5,0,2
46.4,,1,0,2
47,,8,0,2
47.9,,0,0,2
48,,10,0,2
49,,6,0,2
50,,0,0,2
50.1,,1,0,2
50.8,,1,0,2
51,,0,0,2
52,,1,0,2
53,,0,0,2
54,,0,0,2
55,,0,0,2
56,,0,0,2
57,,0,0,2
61,,0,0,2
15,,0,1,2
15.3,,0,1,2
15.8,,0,1,2
16.8,,0,1,2
17.2,,0,1,2
17.3,,0,1,2
17.4,,0,1,2
17.5,,0,1,2
17.6,,0,1,2
18.1,,0,1,2
18.4,,0,1,2
21,,0,1,2
21.1,,0,1,2
21.8,,0,1,2
21.9,,0,1,2
22.6,,0,1,2
22.8,,0,1,2
23.5,,0,1,2
23.8,,0,1,2
24,,0,1,2
24.2,,0,1,2
24.3,,0,1,2
24.5,,0,1,2
24.9,,0,1,2
25.1,,0,1,2
25.3,,0,1,2
25.4,,0,1,2
25.6,,0,1,2
25.7,,0,1,2
25.8,,0,1,2
25.9,,0,1,2
26,,0,1,2
26.2,,0,1,2
26.3,,0,1,2
26.5,,0,1,2
26.6,,0,1,2
27.1,,0,1,2
27.4,,0,1,2
22,,0,1,2
22.2,,0,1,2
29,,0,1,2
31,,0,1,2
32,,0,1,2
33,,0,1,2
34,,0,1,2
35,,0,1,2
36,,0,1,2
37,,0,1,2
38,,1,1,2
38.7,,0,1,2
39,,2,1,2
40,,4,1,2
41,,6,1,2
41.6,,0,1,2
42,,5,1,2
42.6,,0,1,2
43,,3,1,2
43.2,,1,1,2
43.7,,0,1,2
43.9,,0,1,2
44,,6,1,2
44.2,,0,1,2
44.9,,0,1,2
45,,3,1,2
45.2,,0,1,2
45.6,,1,1,2
46,,6,1,2
46.4,,0,1,2
47,,4,1,2
47.9,,1,1,2
48,,5,1,2
49,,9,1,2
50,,7,1,2
50.1,,0,1,2
50.8,,0,1,2
51,,5,1,2
52,,8,1,2
53,,7,1,2
54,,1,1,2
55,,2,1,2
56,,1,1,2
57,,1,1,2
61,,1,1,2
,1,6,0,1
,2,1,0,1
,3,29,0,1
,5,1,0,1
,6,1,0,1
,7,0,0,1
,8,0,0,1
,9,0,0,1
,10,0,0,1
,11,0,0,1
,12,0,0,1
,13,0,0,1
,14,0,0,1
,22,0,0,1
,24,0,0,1
,25,0,0,1
,27,0,0,1
,28,0,0,1
,1,0,1,1
,2,0,1,1
,3,0,1,1
,5,2,1,1
,6,7,1,1
,7,37,1,1
,8,6,1,1
,9,2,1,1
,10,1,1,1
,11,1,1,1
,12,2,1,1
,13,1,1,1
,14,2,1,1
,22,1,1,1
,24,18,1,1
,25,1,1,1
,27,2,1,1
,28,3,1,1
14.3,,1,0,1
14.4,,1,0,1
14.9,,1,0,1
15.2,,1,0,1
15.5,,1,0,1
15.6,,1,0,1
19.1,,1,0,1
19.4,,1,0,1
19.9,,2,0,1
24,,1,0,1
24.2,,1,0,1
24.3,,1,0,1
24.5,,1,0,1
24.8,,2,0,1
25,,2,0,1
25.3,,1,0,1
25.6,,1,0,1
26,,2,0,1
26.1,,1,0,1
26.2,,2,0,1
26.3,,1,0,1
26.7,,1,0,1
26.9,,1,0,1
27.1,,1,0,1
27.2,,1,0,1
27.4,,1,0,1
27.5,,2,0,1
27.6,,1,0,1
28,,1,0,1
28.4,,1,0,1
30,,1,0,1
31,,0,0,1
34,,0,0,1
35,,0,0,1
36,,0,0,1
37,,1,0,1
38,,0,0,1
39,,0,0,1
40,,0,0,1
41,,0,0,1
42,,0,0,1
43,,0,0,1
45,,0,0,1
46,,0,0,1
47,,0,0,1
48,,0,0,1
49,,0,0,1
50,,0,0,1
52,,0,0,1
14.3,,0,1,1
14.4,,0,1,1
14.9,,0,1,1
15.2,,0,1,1
15.5,,0,1,1
15.6,,0,1,1
19.1,,0,1,1
19.4,,0,1,1
19.9,,0,1,1
24,,0,1,1
24.2,,0,1,1
24.3,,0,1,1
24.5,,0,1,1
24.8,,0,1,1
25,,0,1,1
25.3,,0,1,1
25.6,,0,1,1
26,,0,1,1
26.1,,0,1,1
26.2,,0,1,1
26.3,,0,1,1
26.7,,0,1,1
26.9,,0,1,1
27.1,,0,1,1
27.2,,0,1,1
27.4,,0,1,1
27.5,,0,1,1
27.6,,0,1,1
28,,0,1,1
28.4,,0,1,1
30,,0,1,1
31,,1,1,1
34,,2,1,1
35,,2,1,1
36,,3,1,1
37,,8,1,1
38,,9,1,1
39,,8,1,1
40,,9,1,1
41,,8,1,1
42,,1,1,1
43,,2,1,1
45,,4,1,1
46,,4,1,1
47,,7,1,1
48,,7,1,1
49,,1,1,1
50,,6,1,1
52,,4,1,1
